Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  6.63      0.25     0.25 15111088     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  3.32      0.38     0.13   589809     0.00     0.00  FastRandomFuzzyTree::calc_gain(int, unsigned long, unsigned long, unsigned long)
  2.92      0.49     0.11  1179618     0.00     0.00  FastRandomFuzzyTree::calc_properties(int, unsigned long, unsigned long, unsigned long, FastRandomFuzzyTree::Side)
  2.12      0.57     0.08  7696765     0.00     0.00  std::__detail::_Map_base<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int> >, std::__detail::_Select1st, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true>, true>::operator[](std::string const&)
  1.59      0.63     0.06  7696765     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int> >, std::__detail::_Select1st, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_find_before_node(unsigned long, std::string const&, unsigned long) const
  1.33      0.68     0.05 26130428     0.00     0.00  std::vector<std::pair<std::vector<double, std::allocator<double> >, std::string>, std::allocator<std::pair<std::vector<double, std::allocator<double> >, std::string> > >::operator[](unsigned long)
  1.33      0.73     0.05 14627569     0.00     0.00  std::_Hash_impl::hash(void const*, unsigned long, unsigned long)
  1.33      0.78     0.05 14627569     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, std::hash<std::string>, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<1, std::hash<std::string>, true> const&)
  1.33      0.83     0.05 12270803     0.00     0.00  std::equal_to<std::string>::operator()(std::string const&, std::string const&) const
  1.33      0.88     0.05  6930804     0.00     0.00  std::__detail::_Map_base<std::string, std::pair<std::string const, double>, std::allocator<std::pair<std::string const, double> >, std::__detail::_Select1st, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true>, true>::operator[](std::string const&)
  1.33      0.93     0.05  3589865     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
